,Unnamed: 0,used_read_access_memory_in_bytes,utilization_of_cpu,used_read_access_memory_in_percentage,time_duration_with_cpu_profiler_in_sec,used_algorithm,name_of_src_file,time_duration_without_malloc_in_sec,full_cost,best_way,time_duration_with_malloc_in_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,is_valid_way,is_optimal_cost,is_optimal_way,is_best_and_optimal,distance_error,optimal_error_percentage,average_cpu_utilization
68,69,"[14114971648, 14120759296, 14121377792]","[25.0, 17.2, 10.7]","[83.0, 83.1, 83.1]",2.3264548,brute_force_lib_python_tsp,TSP_CITIES_SET_12_N_9.json,0.3514415999999998,5994.639494449839,"[0, 4, 8, 2, 3, 9, 6, 7, 1, 5, 0]",1.0719769,0,0,7994,7994,7994,7994,False,False,False,False,0.0,0.0,0.0
69,71,"[12404633600, 12404711424, 12404088832, 12403417088, 12403961856, 12404178944, 12404228096, 12403253248, 12404219904, 12404170752]","[12.5, 11.5, 12.5, 12.1, 12.5, 12.5, 14.1, 12.5, 12.5, 12.5]","[73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0]",10.6684654,brute_force_lib_python_tsp,TSP_CITIES_SET_1_N_10.json,3.0493659,6590.630643899594,"[0, 9, 5, 8, 6, 3, 1, 4, 2, 7, 0]",6.969998499999999,0,0,8054,8054,8054,8054,False,False,False,False,0.0,0.0,0.0
70,72,"[12402466816, 12402257920, 12400447488, 12398391296, 12404494336, 12418129920, 12421083136, 12421480448, 12421525504, 12421509120, 12421382144]","[12.5, 15.3, 13.0, 15.6, 30.2, 26.8, 26.6, 26.9, 26.6, 25.0, 25.0]","[73.0, 73.0, 72.9, 72.9, 73.0, 73.1, 73.1, 73.1, 73.1, 73.1, 73.1]",12.112269,brute_force_lib_python_tsp,TSP_CITIES_SET_2_N_10.json,3.0779559,5950.287010879661,"[0, 1, 2, 7, 4, 6, 8, 9, 5, 3, 0]",6.9057659000000005,0,0,8054,8054,8054,8054,False,False,False,False,0.0,0.0,0.0
71,73,"[12443840512, 12443930624, 12443983872, 12420050944, 12419575808, 12420268032, 12420091904, 12420284416, 12420407296]","[14.1, 12.3, 14.1, 12.5, 14.1, 11.5, 12.5, 12.7, 12.5]","[73.2, 73.2, 73.2, 73.1, 73.1, 73.1, 73.1, 73.1, 73.1]",9.363564,brute_force_lib_python_tsp,TSP_CITIES_SET_3_N_10.json,3.1368912999999994,6753.3794776658615,"[0, 4, 9, 1, 8, 5, 3, 2, 7, 6, 0]",6.851361399999999,0,0,8054,8054,8054,8054,False,False,False,False,0.0,0.0,0.0
72,74,"[12489019392, 12487143424, 12486672384, 12487585792, 12476162048, 12478455808, 12478427136, 12478791680, 12487860224]","[12.5, 12.7, 12.5, 12.5, 12.5, 12.5, 14.1, 26.6, 30.4]","[73.5, 73.5, 73.5, 73.5, 73.4, 73.4, 73.4, 73.4, 73.5]",9.9290237,brute_force_lib_python_tsp,TSP_CITIES_SET_4_N_10.json,3.1812243,5594.034889344786,"[0, 5, 2, 6, 9, 1, 4, 7, 8, 3, 0]",6.8434301,0,0,8054,8054,8054,8054,False,False,False,False,0.0,0.0,0.0
73,75,"[11648839680, 11642920960, 11643068416, 11643015168, 11642871808, 11643109376, 11643936768, 11643936768, 11643781120, 11643924480]","[12.5, 14.3, 12.5, 13.1, 19.4, 12.5, 12.5, 12.5, 14.3, 8.9]","[68.5, 68.5, 68.5, 68.5, 68.5, 68.5, 68.5, 68.5, 68.5, 68.5]",10.0943439,brute_force_lib_python_tsp,TSP_CITIES_SET_5_N_10.json,2.9630168,5725.216405723004,"[0, 2, 4, 7, 1, 6, 8, 5, 3, 9, 0]",7.1140918,0,0,8054,8054,8054,8054,False,False,False,False,0.0,0.0,0.0
74,76,"[11678003200, 11677106176, 11644538880, 11643924480, 11644522496, 11643719680, 11643211776, 11644297216, 11644256256, 11644166144, 11663060992, 11655692288, 11658362880, 11658383360, 11658354688, 11657408512, 11658031104, 11658457088, 11666321408, 11667218432, 11659034624]","[12.5, 12.5, 12.5, 23.4, 12.5, 11.5, 12.5, 14.3, 12.9, 19.6, 25.0, 25.0, 32.8, 24.5, 25.0, 26.8, 26.6, 25.0, 25.0, 25.0, 12.5]","[68.7, 68.7, 68.5, 68.5, 68.5, 68.5, 68.5, 68.5, 68.5, 68.5, 68.6, 68.6, 68.6, 68.6, 68.6, 68.6, 68.6, 68.6, 68.6, 68.6, 68.6]",22.2236748,brute_force_lib_python_tsp,TSP_CITIES_SET_6_N_10.json,3.0009714,5198.418742874467,"[0, 4, 1, 8, 6, 7, 2, 3, 9, 5, 0]",6.9533334,0,0,8054,8054,8054,8054,False,False,False,False,0.0,0.0,0.0
75,77,"[11679281152, 11675398144, 11675725824, 11675652096, 11675078656, 11673944064, 11674533888, 11674075136, 11674009600]","[13.6, 16.4, 13.9, 12.5, 12.5, 14.0, 12.5, 28.8, 12.5]","[68.7, 68.7, 68.7, 68.7, 68.7, 68.7, 68.7, 68.7, 68.7]",9.8832341,brute_force_lib_python_tsp,TSP_CITIES_SET_7_N_10.json,2.9830946,5288.069874088005,"[0, 5, 6, 9, 7, 4, 2, 1, 3, 8, 0]",6.9260159,0,0,8054,8054,8054,8054,False,False,False,False,0.0,0.0,0.0
76,78,"[11671920640, 11669295104, 11668922368, 11686326272, 11707801600, 11707617280, 11707392000, 11707408384, 11707228160, 11707002880, 11707273216]","[12.5, 17.2, 17.9, 25.0, 26.8, 25.0, 26.8, 27.9, 25.0, 25.0, 25.0]","[68.7, 68.6, 68.6, 68.7, 68.9, 68.9, 68.9, 68.9, 68.9, 68.9, 68.9]",11.3533841,brute_force_lib_python_tsp,TSP_CITIES_SET_8_N_10.json,3.0826441,5916.058999826883,"[0, 2, 4, 7, 9, 6, 8, 1, 5, 3, 0]",7.2073712,0,0,8054,8054,8054,8054,False,False,False,False,0.0,0.0,0.0
77,79,"[13740077056, 13746348032, 13825114112, 13889589248, 13886156800, 13894270976, 13898084352, 14030372864, 14027423744, 14048055296, 14054445056, 14040387584, 14060736512, 14057025536, 13996322816, 13980114944, 13983862784, 13963583488, 14019903488]","[15.3, 24.5, 33.9, 33.9, 11.5, 14.3, 37.5, 37.9, 47.4, 25.0, 49.1, 26.6, 38.9, 12.5, 15.6, 19.6, 18.8, 17.9, 21.2]","[80.8, 80.9, 81.3, 81.7, 81.7, 81.7, 81.8, 82.5, 82.5, 82.6, 82.7, 82.6, 82.7, 82.7, 82.3, 82.2, 82.3, 82.1, 82.5]",20.114438,brute_force_lib_python_tsp,TSP_CITIES_SET_9_N_10.json,4.0337281,5700.361962197288,"[0, 1, 5, 4, 9, 8, 7, 3, 6, 10, 2, 0]",7.483242399999999,0,0,8038,8038,8038,8038,False,False,False,False,0.0,0.0,0.0
