,used_algorithm,name_of_src_file,number_of_cities,index_of_sample,best_way,full_cost,hamiltonian_cycle_cost,time_duration_without_malloc_in_sec,utilization_of_cpu,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes
85,brute_force_lib_python_tsp,TSP_CITIES_SET_85_N_4.json,4,85,"[0, 1, 3, 2, 0]",4410.843202663505,4410.843202663505,0.00014380000000002724,[5.4],3094,3094
86,brute_force_lib_python_tsp,TSP_CITIES_SET_86_N_4.json,4,86,"[0, 3, 2, 1, 0]",3729.3061159577564,3729.3061159577564,0.00016160000000020602,[12.5],3094,3094
87,brute_force_lib_python_tsp,TSP_CITIES_SET_87_N_4.json,4,87,"[0, 1, 3, 2, 0]",3907.6221522343076,3907.6221522343076,0.00018060000000019727,[23.2],3094,3094
88,brute_force_lib_python_tsp,TSP_CITIES_SET_88_N_4.json,4,88,"[0, 2, 1, 3, 0]",2412.3497734633756,2412.3497734633756,0.0001647000000000176,[6.0],3094,3094
89,brute_force_lib_python_tsp,TSP_CITIES_SET_89_N_4.json,4,89,"[0, 1, 2, 3, 0]",4056.213879763336,4056.213879763336,0.00014249999999993435,[7.1],3094,3094
90,brute_force_lib_python_tsp,TSP_CITIES_SET_90_N_4.json,4,90,"[0, 2, 1, 3, 0]",3845.25611585829,3845.25611585829,0.00018050000000036093,[2.9],3094,3094
91,brute_force_lib_python_tsp,TSP_CITIES_SET_91_N_4.json,4,91,"[0, 3, 2, 1, 0]",3324.9340513676498,3324.9340513676498,0.00020719999999974092,[7.0],3094,3094
92,brute_force_lib_python_tsp,TSP_CITIES_SET_92_N_4.json,4,92,"[0, 1, 3, 2, 0]",3530.9779956842713,3530.9779956842713,0.00013179999999968217,[16.7],3094,3094
93,brute_force_lib_python_tsp,TSP_CITIES_SET_93_N_4.json,4,93,"[0, 2, 1, 3, 0]",3444.299594847693,3444.299594847693,0.0001512999999997433,[20.3],3094,3094
94,brute_force_lib_python_tsp,TSP_CITIES_SET_94_N_4.json,4,94,"[0, 2, 1, 3, 0]",3695.659871127306,3695.659871127306,0.0003459000000001211,[25.0],3094,3094
95,brute_force_lib_python_tsp,TSP_CITIES_SET_95_N_4.json,4,95,"[0, 1, 2, 3, 0]",3321.569239470146,3321.569239470146,0.00025680000000027903,[0.0],3094,3094
96,brute_force_lib_python_tsp,TSP_CITIES_SET_96_N_4.json,4,96,"[0, 1, 3, 2, 0]",3355.2861615174497,3355.2861615174497,0.00013130000000005637,[0.0],3094,3094
97,brute_force_lib_python_tsp,TSP_CITIES_SET_97_N_4.json,4,97,"[0, 1, 3, 2, 0]",3806.7104518977126,3806.7104518977126,0.0003004999999998148,[21.5],3094,3094
98,brute_force_lib_python_tsp,TSP_CITIES_SET_98_N_4.json,4,98,"[0, 2, 3, 1, 0]",2890.3610421717835,2890.3610421717835,0.00015570000000009188,[0.0],3094,3094
99,brute_force_lib_python_tsp,TSP_CITIES_SET_99_N_4.json,4,99,"[0, 1, 3, 2, 0]",2288.0035004025476,2288.0035004025476,0.00027840000000001197,[0.0],3094,3094
100,brute_force_lib_python_tsp,TSP_CITIES_SET_0_N_5.json,5,0,"[0, 2, 3, 1, 4, 0]",5247.002694950534,5247.002694950534,0.00028069999999980055,[12.2],4362,4362
101,brute_force_lib_python_tsp,TSP_CITIES_SET_1_N_5.json,5,1,"[0, 1, 4, 2, 3, 0]",5610.816238948362,5610.816238948362,0.00031189999999980955,[12.5],4362,4362
102,brute_force_lib_python_tsp,TSP_CITIES_SET_2_N_5.json,5,2,"[0, 3, 2, 1, 4, 0]",3245.177303203217,3245.177303203217,0.0002930999999999351,[0.0],4362,4362
103,brute_force_lib_python_tsp,TSP_CITIES_SET_3_N_5.json,5,3,"[0, 3, 2, 4, 1, 0]",4065.570992540409,4065.570992540409,0.0003372000000001485,[0.0],4362,4362
104,brute_force_lib_python_tsp,TSP_CITIES_SET_4_N_5.json,5,4,"[0, 1, 2, 4, 3, 0]",4188.148330565064,4188.148330565064,0.0002699000000001561,[8.2],4362,4362
105,brute_force_lib_python_tsp,TSP_CITIES_SET_5_N_5.json,5,5,"[0, 1, 4, 3, 2, 0]",4834.977298453686,4834.977298453686,0.0002846999999999156,[3.1],4362,4362
106,brute_force_lib_python_tsp,TSP_CITIES_SET_6_N_5.json,5,6,"[0, 3, 1, 4, 2, 0]",5480.378042322208,5480.378042322208,0.00031430000000032265,[3.3],4362,4362
107,brute_force_lib_python_tsp,TSP_CITIES_SET_7_N_5.json,5,7,"[0, 2, 1, 3, 4, 0]",3991.2252653709675,3991.2252653709675,0.0002660999999997138,[0.0],4362,4362
108,brute_force_lib_python_tsp,TSP_CITIES_SET_8_N_5.json,5,8,"[0, 3, 4, 1, 2, 0]",4884.984619751125,4884.984619751125,0.0002830000000000332,[16.1],4362,4362
109,brute_force_lib_python_tsp,TSP_CITIES_SET_9_N_5.json,5,9,"[0, 1, 2, 4, 3, 0]",5222.951586109288,5222.951586109288,0.0002675000000000871,[12.5],4362,4362
110,brute_force_lib_python_tsp,TSP_CITIES_SET_10_N_5.json,5,10,"[0, 1, 2, 3, 4, 0]",3174.0128722731847,3174.0128722731847,0.00031189999999980955,[12.3],4362,4362
111,brute_force_lib_python_tsp,TSP_CITIES_SET_11_N_5.json,5,11,"[0, 1, 3, 4, 2, 0]",3433.6724290376346,3433.6724290376346,0.00046060000000025525,[0.0],4362,4362
112,brute_force_lib_python_tsp,TSP_CITIES_SET_12_N_5.json,5,12,"[0, 2, 1, 4, 3, 0]",4966.089723953977,4966.089723953977,0.0002921000000002394,[0.0],4362,4362
113,brute_force_lib_python_tsp,TSP_CITIES_SET_13_N_5.json,5,13,"[0, 1, 2, 3, 4, 0]",4513.547865875393,4513.547865875393,0.0003719000000002026,[7.8],4362,4362
114,brute_force_lib_python_tsp,TSP_CITIES_SET_14_N_5.json,5,14,"[0, 1, 2, 4, 3, 0]",4446.175643836377,4446.175643836377,0.00027409999999994383,[9.2],4362,4362
115,brute_force_lib_python_tsp,TSP_CITIES_SET_15_N_5.json,5,15,"[0, 1, 2, 3, 4, 0]",3834.014810886392,3834.014810886392,0.0005481999999998877,[12.3],4362,4362
116,brute_force_lib_python_tsp,TSP_CITIES_SET_16_N_5.json,5,16,"[0, 1, 4, 2, 3, 0]",4289.449843726474,4289.449843726474,0.0005292000000003405,[21.4],4362,4362
117,brute_force_lib_python_tsp,TSP_CITIES_SET_17_N_5.json,5,17,"[0, 1, 3, 2, 4, 0]",5795.217322051357,5795.217322051357,0.00034160000000005297,[5.4],4362,4362
118,brute_force_lib_python_tsp,TSP_CITIES_SET_18_N_5.json,5,18,"[0, 1, 4, 2, 3, 0]",3907.598973627688,3907.598973627688,0.0002851000000001491,[0.0],4362,4362
119,brute_force_lib_python_tsp,TSP_CITIES_SET_19_N_5.json,5,19,"[0, 2, 1, 4, 3, 0]",4416.171616058915,4416.171616058915,0.00026860000000006323,[10.5],4362,4362
120,brute_force_lib_python_tsp,TSP_CITIES_SET_20_N_5.json,5,20,"[0, 3, 2, 1, 4, 0]",2491.6365655344935,2491.6365655344935,0.00028600000000000847,[7.8],4362,4362
121,brute_force_lib_python_tsp,TSP_CITIES_SET_21_N_5.json,5,21,"[0, 1, 4, 3, 2, 0]",4083.7677346223736,4083.7677346223736,0.00029089999999998284,[0.0],4362,4362
122,brute_force_lib_python_tsp,TSP_CITIES_SET_22_N_5.json,5,22,"[0, 3, 2, 4, 1, 0]",2855.8264240915996,2855.8264240915996,0.00028260000000024377,[7.8],4362,4362
123,brute_force_lib_python_tsp,TSP_CITIES_SET_23_N_5.json,5,23,"[0, 3, 2, 1, 4, 0]",4429.550098589932,4429.550098589932,0.00029220000000007573,[24.6],4362,4362
124,brute_force_lib_python_tsp,TSP_CITIES_SET_24_N_5.json,5,24,"[0, 1, 4, 3, 2, 0]",4415.993285874058,4415.993285874058,0.0005020000000000024,[14.1],4362,4362
125,brute_force_lib_python_tsp,TSP_CITIES_SET_25_N_5.json,5,25,"[0, 2, 3, 1, 4, 0]",4464.339766156485,4464.339766156485,0.00031639999999999446,[12.5],4362,4362
126,brute_force_lib_python_tsp,TSP_CITIES_SET_26_N_5.json,5,26,"[0, 3, 4, 1, 2, 0]",3601.0651520029323,3601.0651520029323,0.00046210000000002083,[12.5],4362,4362
127,brute_force_lib_python_tsp,TSP_CITIES_SET_27_N_5.json,5,27,"[0, 3, 1, 2, 4, 0]",4570.058108477386,4570.058108477386,0.00027359999999987394,[7.8],4362,4362
128,brute_force_lib_python_tsp,TSP_CITIES_SET_28_N_5.json,5,28,"[0, 4, 3, 2, 1, 0]",2611.529519738885,2611.529519738885,0.00029039999999991295,[17.2],4362,4362
129,brute_force_lib_python_tsp,TSP_CITIES_SET_29_N_5.json,5,29,"[0, 2, 3, 1, 4, 0]",4622.919734498813,4622.919734498813,0.00031720000000001747,[28.8],4362,4362
130,brute_force_lib_python_tsp,TSP_CITIES_SET_30_N_5.json,5,30,"[0, 3, 2, 1, 4, 0]",3512.4862871999053,3512.4862871999053,0.0006047000000002356,[43.8],4362,4362
131,brute_force_lib_python_tsp,TSP_CITIES_SET_31_N_5.json,5,31,"[0, 3, 1, 2, 4, 0]",5070.636086622927,5070.636086622927,0.0005162000000002998,[12.5],4362,4362
132,brute_force_lib_python_tsp,TSP_CITIES_SET_32_N_5.json,5,32,"[0, 4, 2, 1, 3, 0]",3667.7036924908225,3667.7036924908225,0.000301600000000235,[7.8],4362,4362
133,brute_force_lib_python_tsp,TSP_CITIES_SET_33_N_5.json,5,33,"[0, 2, 1, 4, 3, 0]",4331.638280718221,4331.638280718221,0.00030590000000030315,[1.6],4362,4362
134,brute_force_lib_python_tsp,TSP_CITIES_SET_34_N_5.json,5,34,"[0, 2, 3, 1, 4, 0]",3134.656543184866,3134.656543184866,0.00027280000000029503,[1.8],4362,4362
135,brute_force_lib_python_tsp,TSP_CITIES_SET_35_N_5.json,5,35,"[0, 1, 3, 2, 4, 0]",3925.1993649581864,3925.1993649581864,0.0002698000000003198,[0.0],4362,4362
136,brute_force_lib_python_tsp,TSP_CITIES_SET_36_N_5.json,5,36,"[0, 4, 3, 1, 2, 0]",2677.7455067555193,2677.7455067555193,0.00026740000000025077,[13.8],4362,4362
137,brute_force_lib_python_tsp,TSP_CITIES_SET_37_N_5.json,5,37,"[0, 1, 3, 4, 2, 0]",3536.132576354603,3536.132576354603,0.0002860999999998448,[0.0],4362,4362
138,brute_force_lib_python_tsp,TSP_CITIES_SET_38_N_5.json,5,38,"[0, 2, 3, 1, 4, 0]",3210.339349390006,3210.339349390006,0.00029360000000000497,[12.5],4362,4362
139,brute_force_lib_python_tsp,TSP_CITIES_SET_39_N_5.json,5,39,"[0, 3, 2, 1, 4, 0]",4603.5449373023475,4603.5449373023475,0.00027150000000020214,[17.2],4362,4362
140,brute_force_lib_python_tsp,TSP_CITIES_SET_40_N_5.json,5,40,"[0, 4, 1, 2, 3, 0]",3667.6429210501246,3667.6429210501246,0.0002698000000003198,[2.8],4362,4362
141,brute_force_lib_python_tsp,TSP_CITIES_SET_41_N_5.json,5,41,"[0, 4, 3, 1, 2, 0]",3874.1253895549944,3874.1253895549944,0.00026970000000003935,[0.0],4362,4362
142,brute_force_lib_python_tsp,TSP_CITIES_SET_42_N_5.json,5,42,"[0, 1, 4, 2, 3, 0]",2300.1055568890397,2300.1055568890397,0.0002827000000000801,[0.0],4362,4362
