    ,used_algorithm                                   ,name_of_src_file           ,full_cost         ,hamiltonian_cycle_cost,best_way
4509,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_79_N_4.json ,2404.416346605054 ,2404.416346605054     ,"[0, 1, 3, 2, 0]"
4510,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_80_N_4.json ,5039.635743307924 ,5039.635743307925     ,"[0, 2, 1, 3, 0]"
4511,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_81_N_4.json ,3774.861365066078 ,3774.861365066079     ,"[0, 2, 1, 3, 0]"
4512,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_82_N_4.json ,3502.463990544325 ,3502.463990544325     ,"[0, 1, 2, 3, 0]"
4513,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_83_N_4.json ,3463.8642769474013,3463.8642769474013    ,"[0, 1, 2, 3, 0]"
4514,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_84_N_4.json ,2726.537230164541 ,2726.537230164541     ,"[0, 1, 3, 2, 0]"
4515,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_85_N_4.json ,4410.843202663505 ,4410.843202663505     ,"[0, 1, 3, 2, 0]"
4516,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_86_N_4.json ,3729.306115957757 ,3729.306115957757     ,"[0, 1, 2, 3, 0]"
4517,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_87_N_4.json ,3907.622152234308 ,3907.622152234308     ,"[0, 1, 3, 2, 0]"
4518,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_88_N_4.json ,2412.349773463376 ,2412.349773463376     ,"[0, 2, 1, 3, 0]"
4519,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_89_N_4.json ,4056.213879763336 ,4056.213879763336     ,"[0, 1, 2, 3, 0]"
4520,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_90_N_4.json ,3845.25611585829  ,3845.25611585829      ,"[0, 2, 1, 3, 0]"
4521,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_91_N_4.json ,3324.9340513676498,3324.9340513676507    ,"[0, 1, 2, 3, 0]"
4522,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_92_N_4.json ,3530.9779956842717,3530.977995684272     ,"[0, 2, 3, 1, 0]"
4523,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_93_N_4.json ,3444.299594847693 ,3444.299594847693     ,"[0, 2, 1, 3, 0]"
4524,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_94_N_4.json ,3695.659871127306 ,3695.659871127306     ,"[0, 2, 1, 3, 0]"
4525,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_95_N_4.json ,3321.569239470146 ,3321.569239470146     ,"[0, 1, 2, 3, 0]"
4526,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_96_N_4.json ,3355.2861615174497,3355.2861615174497    ,"[0, 1, 3, 2, 0]"
4527,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_97_N_4.json ,3806.7104518977126,3806.7104518977126    ,"[0, 1, 3, 2, 0]"
4528,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_98_N_4.json ,2890.3610421717835,2890.361042171784     ,"[0, 1, 3, 2, 0]"
