number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,utilization_of_cpu,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2088.938557724558,2088.938557724558,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2088.938557724558,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",[],nan,nan,nan,nan,0.00034730000000005035,nan,nan,nan,nan,nan,nan
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2088.938557724558,2088.938557724558,"[0, 3, 2, 1, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2088.938557724558,ps3,"{'suffix': 'ps3', 'perturbation_scheme': 'ps3'}",[],nan,nan,nan,nan,0.0002575000000000216,nan,nan,nan,nan,nan,nan
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2088.938557724558,2088.938557724558,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2088.938557724558,ps4,"{'suffix': 'ps4', 'perturbation_scheme': 'ps4'}",[],nan,nan,nan,nan,0.0002613999999998562,nan,nan,nan,nan,nan,nan
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2088.938557724558,2088.938557724558,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2088.938557724558,ps5,"{'suffix': 'ps5', 'perturbation_scheme': 'ps5'}",[],nan,nan,nan,nan,0.000265600000000088,nan,nan,nan,nan,nan,nan
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2088.938557724558,2088.938557724558,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2088.938557724558,ps6,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}",[],nan,nan,nan,nan,0.0002821000000001739,nan,nan,nan,nan,nan,nan
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2088.938557724558,2088.938557724558,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2088.938557724558,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[],nan,nan,nan,nan,0.000576800000000155,nan,nan,nan,nan,nan,nan
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2138.4694210788257,2138.4694210788257,"[0, 3, 2, 1, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,ps1,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}",[],nan,nan,nan,nan,0.0002263000000000126,nan,nan,nan,nan,nan,nan
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2138.4694210788257,2138.4694210788257,"[0, 3, 2, 1, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",[],nan,nan,nan,nan,0.00031079999999983343,nan,nan,nan,nan,nan,nan
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2138.4694210788257,2138.4694210788257,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,ps3,"{'suffix': 'ps3', 'perturbation_scheme': 'ps3'}",[],nan,nan,nan,nan,0.00022929999999998785,nan,nan,nan,nan,nan,nan
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2138.4694210788257,2138.4694210788257,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,ps4,"{'suffix': 'ps4', 'perturbation_scheme': 'ps4'}",[],nan,nan,nan,nan,0.0002436000000001215,nan,nan,nan,nan,nan,nan
