,number_of_cities,index_of_sample,name_of_src_file           ,type_of_measurement,used_algorithm                       ,full_cost,hamiltonian_cycle_cost,best_way,suffix ,parameters                                               ,utilization_of_cpu,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration         ,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
34,4,34,TSP_CITIES_SET_34_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.000528,0,0,11301,11301,11301,11301
35,4,35,TSP_CITIES_SET_35_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004328,0,0,10917,10917,10917,10917
36,4,36,TSP_CITIES_SET_36_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003901000000001,0,0,10661,10661,10661,10661
37,4,37,TSP_CITIES_SET_37_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0005082,0,0,10917,10917,10917,10917
38,4,38,TSP_CITIES_SET_38_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003501999999997,0,0,10661,10661,10661,10661
39,4,39,TSP_CITIES_SET_39_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004551999999997,0,0,11173,11173,11173,11173
40,4,40,TSP_CITIES_SET_40_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003433999999997,0,0,10661,10661,10661,10661
41,4,41,TSP_CITIES_SET_41_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004311999999999,0,0,11045,11045,11045,11045
42,4,42,TSP_CITIES_SET_42_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004292999999999,0,0,11045,11045,11045,11045
43,4,43,TSP_CITIES_SET_43_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.00034,0,0,10661,10661,10661,10661
44,4,44,TSP_CITIES_SET_44_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004159000000001,0,0,11045,11045,11045,11045
45,4,45,TSP_CITIES_SET_45_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0005546999999999,0,0,11429,11429,11429,11429
46,4,46,TSP_CITIES_SET_46_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003831,0,0,10853,10853,10853,10853
47,4,47,TSP_CITIES_SET_47_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004491999999998,0,0,10981,10981,10981,10981
48,4,48,TSP_CITIES_SET_48_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003783999999997,0,0,10661,10661,10661,10661
49,4,49,TSP_CITIES_SET_49_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003523999999996,0,0,10661,10661,10661,10661
50,4,50,TSP_CITIES_SET_50_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003256999999998,0,0,10661,10661,10661,10661
51,4,51,TSP_CITIES_SET_51_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003475000000001,0,0,10661,10661,10661,10661
52,4,52,TSP_CITIES_SET_52_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004119,0,0,10917,10917,10917,10917
53,4,53,TSP_CITIES_SET_53_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003964999999999,0,0,10917,10917,10917,10917
54,4,54,TSP_CITIES_SET_54_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003296999999999,0,0,10661,10661,10661,10661
55,4,55,TSP_CITIES_SET_55_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004387000000001,0,0,10982,10982,10982,10982
56,4,56,TSP_CITIES_SET_56_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003334000000001,0,0,10661,10661,10661,10661
57,4,57,TSP_CITIES_SET_57_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003532000000001,0,0,10661,10661,10661,10661
58,4,58,TSP_CITIES_SET_58_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004403000000001,0,0,11045,11045,11045,11045
59,4,59,TSP_CITIES_SET_59_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003603999999999,0,0,10661,10661,10661,10661
60,4,60,TSP_CITIES_SET_60_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003904999999999,0,0,10853,10853,10853,10853
61,4,61,TSP_CITIES_SET_61_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004859000000001,0,0,11045,11045,11045,11045
62,4,62,TSP_CITIES_SET_62_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003309000000002,0,0,10661,10661,10661,10661
63,4,63,TSP_CITIES_SET_63_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003911999999997,0,0,10853,10853,10853,10853
64,4,64,TSP_CITIES_SET_64_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004330999999999,0,0,11045,11045,11045,11045
65,4,65,TSP_CITIES_SET_65_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003773000000002,0,0,10853,10853,10853,10853
66,4,66,TSP_CITIES_SET_66_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003727999999996,0,0,10853,10853,10853,10853
67,4,67,TSP_CITIES_SET_67_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0005036999999998,0,0,10917,10917,10917,10917
68,4,68,TSP_CITIES_SET_68_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003771999999999,0,0,10853,10853,10853,10853
69,4,69,TSP_CITIES_SET_69_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0004433999999999,0,0,11109,11109,11109,11109
70,4,70,TSP_CITIES_SET_70_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0006772999999999,0,0,11429,11429,11429,11429
71,4,71,TSP_CITIES_SET_71_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003370999999998,0,0,10598,10598,10598,10598
72,4,72,TSP_CITIES_SET_72_N_4.json ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0003991,0,0,10853,10853,10853,10853
